SKU;Descrição;Validade;Estoque
419489;NEGRESCO Bisc Granulado NPro 6x1000g XR;11/02/2027;0
6220211;SBUX CAFFE VERONA SRP 12x55g B11;23/10/2026;0
6220411;SBUX PIKE PLACE Rst SRP 12x53g B11;#N/D;2
6220511;SBUX COLOMBIA SO SRP 12x57g B11;07/04/2027;0
6220711;SBUX BLNDE ESPRS Rst SRP 12x53g B11;19/02/2027;0
6221211;SBUX GUAT SO SRP 12x52g B11;20/03/2027;0
6222911;SBUX HSBLD SRP 12x52g B11;06/02/2027;4
6223111;SBUX ESPRS RST SRP 12x55g B11;30/01/2027;8
6223311;SBUX RIST SHOT SRP 12x57g B11;05/04/2027;0
6620911;NESC ANDES SRP 12x44g R11;#N/D;1
6621011;NESC COL SRP 12x44g R11;01/05/2027;0
6621211;NESC BRAZIL SRP 12x44g R11;#N/D;13
6621311;NESC INDIA SRP 12x44g R11;25/10/2025;0
6621611;NESC MEXICO SRP 12x44g R11;13/12/2026;8
11320040;GAROTO Chocolate em Po 20x200g XI;01/04/2027;23
11320042;GAROTO Cacau em Po 20x200g XW;01/05/2027;0
11320197;TALENTO Tab Leite Amen Pas 18(15x25g) XW;14/10/2026;16
11320198;TALENTO Tab Leite Cast Para 18(15x25g)XW;02/01/2027;0
11320199;TALENTO Tab Choc Bco Cer 18(15x25g) XW;03/02/2027;0
11320209;TALENTO Tab Leite Avelas 18(15x25g) XW;12/03/2027;25
11320308;GAROTO Cobertura Choc Ao Leite 12x1kg XW;24/01/2027;0
11320309;GAROTO Cobert Choc Meio Amargo 12x1kg XW;30/12/2026;0
11320331;BATON Bastao Choc Branco 32(30x16g)XW;08/03/2027;54
11320349;GAROTO Cobertura Choc AoLeite 20x500g XW;25/03/2027;0
11320351;GAROTO Cobert Choc MeioAmargo 20x500g XW;13/06/2026;1
11320367;BATON Bastao Choc Leite 32(30x16g)XW;18/10/2026;67
11322004;GAROTO Pastilha Hortela 24(40x17g) XW;12/05/2027;26
11324001;TALENTO Tab Diet Avelas 12(15x25g) XI;17/03/2027;10
12028625;NESCAFE ORIGINAL 24x100g BR;01/03/2028;40
12029252;NESCAFE TRADICAO 24x100g BR;01/01/2028;8
